Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,EnumErrorMsg,0,0,3,2,27,5,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\EnumErrorMsg.java,25
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,IntegerErrorMsg,0,0,1,1,11,2,0,1,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\IntegerErrorMsg.java,23
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,InvalidDurationErrorMsg,0,0,1,1,11,2,0,1,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\InvalidDurationErrorMsg.java,24
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,LenientOptionMsg,1,0,4,3,15,4,0,1,0.5,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\LenientOptionMsg.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NotConsumerOnlyErrorMsg,0,0,2,2,8,2,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NotConsumerOnlyErrorMsg.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NotProducerOnlyErrorMsg,0,0,2,2,8,2,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NotProducerOnlyErrorMsg.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NumberErrorMsg,0,0,1,1,11,2,0,1,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NumberErrorMsg.java,23
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,ReferenceErrorMsg,0,0,1,1,14,3,0,1,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\ReferenceErrorMsg.java,23
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,RequiredErrorMsg,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\RequiredErrorMsg.java,22
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,UnknownComponentErrorMsg,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\UnknownComponentErrorMsg.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,UnknownErrorMsg,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\UnknownErrorMsg.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,BooleanErrorMsgTest,0,0,2,0,12,2,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\BooleanErrorMsgTest.java,26
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,EnumErrorMsgTest,0,0,1,0,9,1,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\EnumErrorMsgTest.java,27
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,IntegerErrorMsgTest,0,0,2,0,12,2,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\IntegerErrorMsgTest.java,26
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NumberErrorMsgTest,0,0,2,0,12,2,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NumberErrorMsgTest.java,26
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,ReferenceErrorMsgTest,0,0,3,0,17,3,0,0,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\ReferenceErrorMsgTest.java,26
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiOptionMethodDescriptorModel,2,0,4,4,16,4,0,0,0.5,3,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiOptionMethodDescriptorModel.java,21
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiOptionMethodsModel,5,0,10,10,37,10,0,0,0.5,3,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiOptionMethodsModel.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiOptionModel,10,5,12,12,62,16,0,0,0.4166666666666667,5,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiOptionModel.java,23
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiPropertyMethodOptionModel,1,0,2,2,9,2,0,0,0.0,3,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiPropertyMethodOptionModel.java,22
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiPropertyOptionModel,7,0,14,14,51,14,0,0,0.5,4,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiPropertyOptionModel.java,22
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,BaseOptionModel,11,0,22,22,79,22,2,0,0.5,2,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\BaseOptionModel.java,21
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ComponentModel,19,0,40,40,141,40,0,0,0.475,15,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ComponentModel.java,22
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ComponentOptionModel,0,0,0,0,2,0,0,1,-1.0,5,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ComponentOptionModel.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,EndpointOptionModel,3,0,6,6,23,6,0,1,0.5,6,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\EndpointOptionModel.java,19
camel-language-server,com.github.cameltooling.lsp.internal.catalog.runtimeprovider,CamelRuntimeProvider,1,0,1,1,17,4,0,0,0.0,2,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\runtimeprovider\CamelRuntimeProvider.java,26
